
---------- Begin Simulation Statistics ----------
simSeconds                                   0.087624                       # Number of seconds simulated (Second)
simTicks                                  87624449000                       # Number of ticks simulated (Tick)
finalTick                                 87624449000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1913.50                       # Real time elapsed on the host (Second)
hostTickRate                                 45792780                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     642276                       # Number of bytes of host memory used (Byte)
simInsts                                    206138907                       # Number of instructions simulated (Count)
simOps                                      206139015                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   107729                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     107729                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        175248997                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       412018949                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      576                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      286108487                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 460127                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            205880509                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         180501213                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  33                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           175218848                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.632864                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.696556                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  63712103     36.36%     36.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  33648089     19.20%     55.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  27968330     15.96%     71.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  20149324     11.50%     83.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  17907882     10.22%     93.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8299273      4.74%     97.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2132840      1.22%     99.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1080148      0.62%     99.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    298600      0.17%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                     21593      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                      666      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             175218848                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   14595      0.20%      0.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.20% # attempts to use FU when none available (Count)
